index,name,path
0,春夏秋冬㈼Ｐ,./fonts/春夏秋冬㈼Ｐ.ttf
1,花鳥風月Ｐ,./fonts/花鳥風月Ｐ.ttf
2,ZakkuriGothic-BLK,./fonts/ZakkuriGothic-BLK.otf
3,aquafont,./fonts/aquafont.ttf
4,cinecaption226,./fonts/cinecaption226.ttf
5,mitimasu,./fonts/mitimasu/mitimasu.ttf
6,keifont,./fonts/k-font/keifont.ttf
7,九ちゃんフォント,./fonts/kyutyan/九ちゃんフォント.ttf
8,YasashisaGothicBold-V2,./fonts/YasashisaGothicV2-B/YasashisaGothicBold-V2.otf
9,Tanugo-Regular,./fonts/Tanugo_1_10/Tanugo-Regular.otf
10,Tanugo-ExtraLight,./fonts/Tanugo_1_10/Tanugo-ExtraLight.otf
11,Tanugo-Bold,./fonts/Tanugo_1_10/Tanugo-Bold.otf
12,Tanugo-Light,./fonts/Tanugo_1_10/Tanugo-Light.otf
13,Tanugo-Round-Regular,./fonts/Tanugo_1_10/Tanugo-Round-Regular.otf
14,Tanugo-Round-Bold,./fonts/Tanugo_1_10/Tanugo-Round-Bold.otf
15,Tanugo-Round-Light,./fonts/Tanugo_1_10/Tanugo-Round-Light.otf
16,nicokaku_v1,./fonts/nicokaku-plus/nicokaku_v1.ttf
17,SistersFL,./fonts/SistersFs/SistersFL.ttf
18,HonyaJi-Re,./fonts/font_honyajire/HonyaJi-Re.ttf
19,03スマートフォントUI,./fonts/SmartFontUI/03スマートフォントUI.otf
20,ダーツフォント,./fonts/dartsfont/ダーツフォント.ttf
21,chogokubosogothic_5,./fonts/chogokubosogothic/chogokubosogothic_5.ttf
22,setofont,./fonts/setofont/setofont.ttf
23,かんじゅくゴシック,./fonts/KanjyukuGothic/かんじゅくゴシック.otf
24,Harenosora,./fonts/hare/Harenosora.otf
25,f_feltpen04,./fonts/f_feltpen11/f_feltpen04.otf
26,OtsutomeFont_Ver3,./fonts/Otsutome_font_ver3/OtsutomeFont_Ver3.ttf
27,umeboshi_,./fonts/umeboshifont/umeboshi_.ttf
28,komorebi-gothic-P,./fonts/MODI_komorebi-gothic_2018_0501/komorebi-gothic-P.ttf
29,GenEiKoburiMin6-R,./fonts/GenEiKoburiMin_v6.1a/GenEiKoburiMin6-R.ttf
30,togoshi-mincho,./fonts/togoshi-mincho-20080511/togoshi-mincho.ttf
31,851MkPOP_101,./fonts/851MkPOP_101/851MkPOP_101.ttf
32,Boku2-Bold,./fonts/boku2b/Boku2-Bold.otf
33,アプリ明朝,./fonts/AppliMincho/アプリ明朝.otf
34,FontopoNIHONGO,./fonts/nihongo/FontopoNIHONGO.otf
35,ArmedBanana,./fonts/ArmedBanana/ArmedBanana.ttf
36,uzura,./fonts/uzurafont100/uzura.ttf
37,ZinPenIto-R,./fonts/Zinfree-penito/ZinPenIto-R.otf
38,saruji,./fonts/saruji/saruji.ttf
39,Oshidashi-M-Gothic,./fonts/Oshidashi-M-Gothic_0_600/Oshidashi-M-Gothic.otf
40,genkai-mincho,./fonts/Genkai-Mincho-font/genkai-mincho.ttf
41,YOzM90,./fonts/YOzFontKM/YOzM90.ttf
42,K Gothic,./fonts/K Gothic/K Gothic.ttf
43,ipaexg,./fonts/ipaexg00201/ipaexg.ttf
44,Honoka-Shin-Antique-Maru_R,./fonts/antique-maru2-1/Honoka-Shin-Antique-Maru_R.otf
45,ゆず ポップ A [M] Bold,./fonts/ゆず ポップ A ver.0.6/ゆず ポップ A [M] Bold.ttf
46,ゆず ポップ A [M] Light,./fonts/ゆず ポップ A ver.0.6/ゆず ポップ A [M] Light.ttf
47,ゆず ポップ A [M] Extra Light,./fonts/ゆず ポップ A ver.0.6/ゆず ポップ A [M] Extra Light.ttf
48,ゆず ポップ A [M] Regular,./fonts/ゆず ポップ A ver.0.6/ゆず ポップ A [M] Regular.ttf
49,Corporate-Logo-Rounded,./fonts/corpround-ver2-font_202202/Corporate-Logo-Rounded.otf
50,FUTENE,./fonts/FUTENE_font/FUTENE.ttf
51,FUTENEmiddle,./fonts/FUTENE_font/FUTENEmiddle.ttf
52,font_1_kokugl_1.15_rls,./fonts/ki_kokugo/font_1_kokugl_1.15_rls.ttf
53,Makinas-4-Square,./fonts/makinas4/Makinas-4-Square.otf
54,FlopDesignFONT,./fonts/FLOPDESIGN-FONT/FlopDesignFONT.otf
55,Kokoro,./fonts/kokoro/Kokoro.otf
56,JKG-M_3,./fonts/jk-go-m-1/JKG-M_3.ttf
57,mushin,./fonts/MODI_mushin_2021_1104/mushin.otf
58,craftmincho,./fonts/craftmincho/craftmincho.otf
59,irohamaru-mikami-Regular,./fonts/MODI_irohamaru-mikami_2016_0914/irohamaru-mikami-Regular.ttf
60,UtsukushiFONT,./fonts/UtsukushiMincho-FONT/UtsukushiFONT.otf
